FILMNAME;YEAR;NUMBEROFOSCARS
Last of the mohicans;36;
Libeled lady;36;
Lloyd's of London;36;
Magnificent brute;36;
My man Godfrey;36;
One in a million;36;
Pennies from heaven;36;
Pigskin Parade;36;
Sing baby sing;36;
Swing time;36;1
Texas rangers;36;
That girl from Paris;36;
Theodore goes wild;36;
These three;36;
Three smart girls;36;
Trail of the lonesome pine;36;
Valiant is the world for Carrie;36;
Winterset;36;
$1000 a minute;35;
All the king's horses;35;
Big broadcast of 1936;35;
Black fung;35;
Broadway hostess;35;
Broadway melody of 1936;35;1
Crusades;35;
Dangerous;35;1
Dark angel;35;1
Escape me never;35;
Follies Bergere;35;
Gay deception;35;
Go into your dance;35;
Gold diggers of 1935;35;1
Golden boy;35;
I dream too much;35;
King of Burlesque;35;
Love me forever;35;
Midsummer night's dream;35;2
Miserables'Les;35;
Naughty Marietta;35;1
Of mice and men;35;
Peter Ibbetson;35;
Private worlds;35;
Ruggles of Red Gap;35;
Scoundrel;35;1
She;35;
Thanks a million;35;
Affairs of Cellini;34;
Cleopatra;34;1
Eskimo;34;1
Flirtation walk;34;
Gay divorcee;34;1
Here comes the navy;34;
Hide-out;34;
House of Rothchild;34;
Imitation of life;34;
Lost patrol;34;
Manhattan Melodrama;34;
Melodrama;34;1
Merry widow;34;1
Of human bondage;34;
One night of love;34;2
Operation 13;34;
Richest girl in the world;34;
She haves me not;34;
Viva Villa;34;1
White parade;34;
Berkley square;33;
Cavalcade;33;3
Farewell to arms;33;2
Lady for a day;33;
Morning glory;33;1
One way passage;33;1
Prizefighter and the lady;33;
Private life of Henry 8th;33;1
Rasputin and the empress;33;
Reunion in Vienna;33;
She done him wrong;33;
Sign of the cross;33;
Smiling through;33;
State fair;33;
When ladies meet;33;
Arrowsmith;32;
Bad girl;32;2
Emma;32;
Five star final;32;
Guardsman;32;
Lady and gent;32;
Medium;32;
One hour with You;32;
Sins of Madelon Claudet;32;1
Smiling lieutenant;32;
Star witness;32;
Trans Atlantic;32;1
What price Hollywood;32;
Criminal Code;31;
Detective story;31;
Doorway to hell;31;
East Lynne;31;
Free soul;31;1
Holiday;31;
Just imagine;31;
Laughter;31;
Min and Bill;31;1
Public enemy;31;
Right to love;31;
Royal family of Broadway;31;
Skippy;31;1
Smart money;31;
Svengali;31;
Tabu;31;1
Trader horn;31;
Whoopee;31;
Big pond;30;
Bulldog Drummond;30;
Case of sergeant Grischa;30;
Condemned;30;
Devil's holiday;30;
Disraeli;30;1
Green goddess;30;
Hallelujah;30;
Hell's angels;30;
King of Jazz;30;1
Love parade;30;
Raffles;30;
Rogue song;30;
Romance;30;
Sally;30;
Sarah and Son;30;
Song of the flame;30;
Street of chance;30;
Their own desire;30;
Trespasser;30;
Vagabond Key;30;
With Byrd at the south Pole;30;1
Alibi;29;
Awakening;29;
Barber;29;
Bridge of San Luis Rey;29;1
Broadway melody;29;1
Cop;29;
Coquette;29;1
Divine lady;29;1
Dynamite;29;
Four devils;29;
Hollywood revue of 1929;29;
In old Arizona;29;1
Iron mask;29;
Last of Mrs. Cheney;29;
Leatherneck;29;
Letter;29;
Madame X;29;
Our dancing daughters;29;
Patriot;29;1
Sal of Singapore;29;
Skyscraper;29;
Thunderbolt;29;
Valiant;29;
Weary river;29;
White shadows in south seas;29;1
Woman of affairs;29;
Wonder of women;29;
Chang;28;
Circus;28;1
Devil dancer;28;
Dove;28;1
Drag;28;
Drums of love;28;
Fair co-ed;28;1
Glorious Betsy;28;
Last command;28;1
Laugh clown laugh;28;1
Magic flame;28;
Noose;28;
Oh king, I;28;
Patent leather kid;28;
Private life of Helen of Troy;28;
Racket;28;
Sadie Thompson;28;
Seventh heaven;28;3
Ship comes in;28;
Sorrell and son;28;
Speedy;28;
Street angel;28;1
Sunrise;28;3
Telling the world;28;1
Tempest;28;1
Two Arabian knights;28;1
Underworld;28;1
Way of all flesh;28;1
Wings;28;2
